Strategy report
Symbol: /ES:XCME
Work Time: 10/6/24, 6:05 PM - 10/20/24, 10:00 PM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;_participation_;Sell to Close;-1;-50.0;$5,806.75;10/6/24, 6:05 PM;$362.50;$12.50;-50.0;
2;_participation_(1,728,252,000,000|5,017|6,176|4,438|3,881.3333|3,245.5|-18.7662|13.0464|29.2597|54.5833|-116.3397|-96.8531|0.0018|0.0007|0.0007|0.0003|0.0002);Buy to Open;1;50.0;$5,799.50;10/6/24, 6:05 PM;;$362.50;0.0;
3;_participation_;Sell to Close;-1;-50.0;$5,807.50;10/6/24, 6:10 PM;$137.50;$362.50;-50.0;
4;_participation_(1,728,252,300,000|1,096|3,056.5|4,482.6667|3,913.5|2,962.5833|-64.142|-75.5503|-71.9944|-63.0053|-34.3997|-9.5341|0.0016|0.0018|0.0008|0.0004|0.0002);Buy to Open;1;50.0;$5,804.75;10/6/24, 6:10 PM;;$500.00;0.0;
5;_participation_;Sell to Close;-1;-50.0;$5,807.50;10/6/24, 6:15 PM;$125.00;$512.50;-50.0;
6;_participation_(1,728,252,600,000|876|986|2,329.6667|3,259.8333|2,631.5|-11.1562|-62.3981|-73.1275|-66.711|-39.87|-39.2638|0.0011|0.0014|0.0017|0.0006|0.0002);Buy to Open;1;50.0;$5,805.00;10/6/24, 6:15 PM;;$625.00;0.0;
7;_participation_;Sell to Close;-1;-50.0;$5,807.50;10/6/24, 6:20 PM;$87.50;$737.50;-50.0;
8;_participation_(1,728,252,900,000|986|931|986|2,712|2,538.1667|5.9076|0|-63.6431|-61.1531|-31.4285|-69.6776|-0.0003|0.0004|0.0008|0.0008|0.0003);Buy to Open;1;50.0;$5,805.75;10/6/24, 6:20 PM;;$712.50;0.0;
9;_participation_;Sell to Close;-1;-50.0;$5,807.75;10/6/24, 6:25 PM;$125.00;$725.00;-50.0;
10;_participation_(1,728,253,200,000|549|767.5|803.6667|2,643.1667|2,454.5833|-28.4691|-31.6881|-79.2295|-77.6337|-25.7309|-29.1156|-0.0036|-0.0015|-0.0005|0.0006|0.0002);Buy to Open;1;50.0;$5,805.25;10/6/24, 6:25 PM;;$837.50;0.0;
11;_participation_;Sell to Close;-1;-50.0;$5,807.50;10/6/24, 6:30 PM;$112.50;$1,050.00;-50.0;
12;_participation_(1,728,253,500,000|375|462|636.6667|1,483.1667|2,380|-18.8312|-41.0995|-74.7163|-84.2437|-20.7613|-7.6833|0.006|0.0003|0|0.0013|0.0003);Buy to Open;1;50.0;$5,805.25;10/6/24, 6:30 PM;;$950.00;0.0;
13;_participation_;Sell to Close;-1;-50.0;$5,808.00;10/6/24, 6:35 PM;$237.50;$1,112.50;-50.0;
14;_participation_(1,728,253,800,000|1,474|924.5|799.3333|892.6667|2,387|59.4375|84.4037|65.1232|-38.2488|-49.566|75.4145|-0.0029|-0.0011|-0.0017|-0.0003|0.0002);Buy to Open;1;50.0;$5,803.25;10/6/24, 6:35 PM;;$1,187.50;0.0;
15;_participation_;Sell to Close;-1;-50.0;$5,805.50;10/6/24, 6:40 PM;$150.00;$1,212.50;-50.0;
16;_participation_(1,728,254,100,000|724|1,099|857.6667|830.6667|2,372.0833|-34.1219|-15.5849|-12.8411|-69.4783|8.7062|-27.7347|0.0021|-0.0013|-0.0002|-0.0004|0.0002);Buy to Open;1;50.0;$5,802.50;10/6/24, 6:40 PM;;$1,337.50;0.0;
17;_participation_;Sell to Close;-1;-50.0;$5,805.75;10/6/24, 6:45 PM;$62.50;$1,412.50;-50.0;
18;_participation_(1,728,254,400,000|416|570|871.3333|754|2,006.9167|-27.0175|-52.2571|-44.8276|-79.2717|15.668|-34.4451|0.0006|0.0015|-0.001|-0.0006|0.0004);Buy to Open;1;50.0;$5,804.50;10/6/24, 6:45 PM;;$1,400.00;0.0;
19;_participation_;Sell to Close;-1;-50.0;$5,805.25;10/6/24, 6:50 PM;$62.50;$1,487.50;-50.0;
20;_participation_(1,728,254,700,000|392|404|510.6667|655|1,683.5|-2.9703|-23.2376|-40.1527|-76.7152|14.2568|26.0238|-0.0019|-0.0006|0.0007|-0.0008|0.0005);Buy to Open;1;50.0;$5,804.00;10/6/24, 6:50 PM;;$1,462.50;0.0;
21;_participation_;Sell to Close;-1;-50.0;$5,804.50;10/6/24, 6:55 PM;$87.50;$1,450.00;-50.0;
22;_participation_(1,728,255,000,000|464|428|424|640.8333|1,642|8.4112|9.434|-27.5943|-71.7418|6.0861|2.7487|-0.0016|-0.0018|-0.001|-0.0005|0.0004);Buy to Open;1;50.0;$5,802.75;10/6/24, 6:55 PM;;$1,550.00;0.0;
23;_participation_;Sell to Close;-1;-50.0;$5,805.00;10/6/24, 7:00 PM;$87.50;$1,425.00;-50.0;
24;_participation_(1,728,255,300,000|321|392.5|392.3333|631.8333|1,057.5|-18.2166|-18.1818|-49.1955|-69.6454|-2.5233|-89.5624|0.0039|0.0006|-0.0002|-0.0007|0.0007);Buy to Open;1;50.0;$5,803.25;10/6/24, 7:00 PM;;$1,637.50;0.0;
25;_participation_;Sell to Close;-1;-50.0;$5,807.75;10/6/24, 7:05 PM;$150.00;$1,700.00;-50.0;
